Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
12/4/2014,Port Loko,Koya,Kagbala,Mathinbose,NA,NA,9,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Kagbala,Majabama,NA,NA,10,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Robia,Roloko Line,NA,NA,11,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
12/3/2014,Port Loko,Koya,Robia,Roloko,NA,NA,8,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Robia,Royama,NA,NA,9,NA,NA,15,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12/5/2014,Port Loko,Koya,Robia,Rogbaray,NA,NA,11,NA,NA,15,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Rokel,Royanka,NA,NA,NA,NA,NA,NA,2,1,1,0,1,1,4,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
12/3/2014,Port Loko,Koya,Rokel,Masaffie,NA,NA,11,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0
12/4/2014,Port Loko,Koya,Rokel,Makeen,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Rokel,Ropote,NA,NA,12,NA,NA,15,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Magbenie,Mayekson,NA,NA,11,NA,NA,15,2,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Magbenie,Malegbeh,NA,NA,NA,NA,NA,15,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12/4/2014,Port Loko,Koya,Magbenie,Malankoh,NA,NA,11,NA,NA,15,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Magbenie,Magbontho Kali,NA,NA,7,NA,NA,15,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2014,Port Loko,Koya,Marifa,Magbena,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Koya,Marifa,Timbo,NA,NA,12,NA,NA,15,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Koya,Marifa,Sumbuya,NA,NA,NA,NA,NA,NA,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Koya,Marifa,Ro-Yoff,NA,NA,9,NA,NA,15,1,1,2,1,1,0,3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Maforki,Gbonkomayira,Mamina,NA,NA,NA,NA,NA,NA,2,2,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Maforki,Gbonkomayira,Bombeh,NA,NA,27,NA,NA,47,3,1,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Maforki,Gbonkomayira,Makasi,NA,NA,9,NA,NA,15,1,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2014,Port Loko,Maforki,Gbonkomayira,Ronhorla,NA,NA,9,NA,NA,15,1,3,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,Port Loko,Maforki,Kabatha,Sengbah,NA,NA,8,NA,NA,15,2,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,Port Loko,Maforki,Kabatha,Kalangba,NA,NA,20,NA,NA,15,2,1,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,Port Loko,Maforki,Kabatha,Mathine,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
